Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_241,VPWR,li1,117.0700,127.8400,1.799997
FILLER_42_233,VPWR,li1,114.5400,127.8400,1.799997
FILLER_42_217,VPWR,li1,106.0300,127.8400,1.799997
FILLER_42_209,VPWR,li1,103.5000,127.8400,1.799997
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.799997
FILLER_42_193,VPWR,li1,94.9900,127.8400,1.799997
FILLER_42_181,VPWR,li1,91.5400,127.8400,1.799997
FILLER_42_169,VPWR,li1,86.0200,127.8400,1.799997
FILLER_42_165,VPWR,li1,82.1100,127.8400,1.799997
FILLER_42_153,VPWR,li1,78.6600,127.8400,1.799997
FILLER_42_141,VPWR,li1,73.1400,127.8400,1.799997
FILLER_42_138,VPWR,li1,69.4600,127.8400,1.799997
FILLER_42_125,VPWR,li1,63.7100,127.8400,1.799998
FILLER_42_113,VPWR,li1,60.2600,127.8400,1.799998
FILLER_42_111,VPWR,li1,56.8100,127.8400,1.799998
FILLER_42_103,VPWR,li1,54.7400,127.8400,1.799998
FILLER_42_91,VPWR,li1,50.1400,127.8400,1.799998
FILLER_42_85,VPWR,li1,45.3100,127.8400,1.799998
FILLER_42_81,VPWR,li1,43.4700,127.8400,1.799998
FILLER_42_69,VPWR,li1,40.0200,127.8400,1.799999
FILLER_42_57,VPWR,li1,34.5000,127.8400,1.799999
FILLER_42_53,VPWR,li1,30.5900,127.8400,1.799999
FILLER_42_41,VPWR,li1,27.1400,127.8400,1.799999
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.800000
FILLER_42_22,VPWR,li1,17.0200,127.8400,1.800000
FILLER_42_15,VPWR,li1,13.3400,127.8400,1.800000
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.800000
FILLER_41_249,VPWR,li1,120.7500,122.4000,1.799903
FILLER_41_237,VPWR,li1,117.3000,122.4000,1.799903
FILLER_41_225,VPWR,li1,111.7800,122.4000,1.799903
FILLER_41_223,VPWR,li1,108.3300,122.4000,1.799903
FILLER_41_211,VPWR,li1,105.3400,122.4000,1.799903
FILLER_41_189,VPWR,li1,92.9200,122.4000,1.799905
FILLER_41_164,VPWR,li1,81.8800,122.4000,1.799908
FILLER_41_152,VPWR,li1,78.2000,122.4000,1.799909
FILLER_41_131,VPWR,li1,66.0100,122.4000,1.799918
FILLER_41_113,VPWR,li1,57.9600,122.4000,1.799926
FILLER_41_111,VPWR,li1,56.8100,122.4000,1.799926
FILLER_41_84,VPWR,li1,44.3900,122.4000,1.799943
FILLER_41_77,VPWR,li1,41.8600,122.4000,1.799947
FILLER_41_65,VPWR,li1,38.1800,122.4000,1.799952
FILLER_41_57,VPWR,li1,32.2000,122.4000,1.799959
FILLER_41_52,VPWR,li1,30.3600,122.4000,1.799962
FILLER_41_48,VPWR,li1,27.8300,122.4000,1.799967
FILLER_41_44,VPWR,li1,25.9900,122.4000,1.799970
FILLER_41_36,VPWR,li1,23.9200,122.4000,1.799974
FILLER_41_15,VPWR,li1,12.6500,122.4000,1.799977
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799977
FILLER_40_251,VPWR,li1,121.2100,122.4000,1.799903
FILLER_40_245,VPWR,li1,119.6000,122.4000,1.799903
FILLER_40_233,VPWR,li1,115.4600,122.4000,1.799903
FILLER_40_221,VPWR,li1,109.9400,122.4000,1.799903
FILLER_40_209,VPWR,li1,104.4200,122.4000,1.799903
FILLER_40_197,VPWR,li1,98.9000,122.4000,1.799903
FILLER_40_190,VPWR,li1,94.3000,122.4000,1.799904
FILLER_40_175,VPWR,li1,87.8600,122.4000,1.799906
FILLER_40_165,VPWR,li1,82.3400,122.4000,1.799908
FILLER_40_141,VPWR,li1,71.3000,122.4000,1.799913
FILLER_40_105,VPWR,li1,54.5100,122.4000,1.799928
FILLER_40_82,VPWR,li1,43.7000,122.4000,1.799943
FILLER_40_70,VPWR,li1,40.4800,122.4000,1.799947
FILLER_40_45,VPWR,li1,26.4500,122.4000,1.799970
FILLER_40_41,VPWR,li1,25.3000,122.4000,1.799974
FILLER_40_29,VPWR,li1,21.6200,122.4000,1.799979
FILLER_40_22,VPWR,li1,17.0200,122.4000,1.799977
